id,name,location,city_id,latitude,longitude
128,Homan Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00P^f\xffw\xedU\xc0\x90\xb24\xa6\x16\xedD@',239,41.852253700000006,-87.71044907566943
129,Homan Square Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00b\x97\xf2k\xb5\xedU\xc0^h\xae\xd3H\xefD@',588,41.86941,-87.7141981
130,Horner Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00 \xa2xP\x92\xecU\xc0\x86\xfc}\x10\x93\xfaD@',4,41.957613050000006,-87.69643031864734
131,Howard Beach Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00j\x93y\x9a\x82\xeaU\xc0^z\xa0\xba^\x02E@',244,42.0185159,-87.6642214
132,Humboldt Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00qVDM\xf4\xecU\xc0#\xd2\xdbD\xd2\xf6D@',249,41.9282919,-87.702411
133,Independence Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xc8\xab\xbd\x99b\xeeU\xc0P\xf7\xa6\x8e\xfa\xf9D@',20,41.9529589,-87.7247681
134,Indian Boundary Park and Cultural Center,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x88!\x83&S\xecU\xc0\n\xcb\xe9\xfc%\x01E@',251,42.0089718,-87.6925751
135,Indian Road Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x1e\x15\xa4\xbe\xd1\xf1U\xc0w<\x1c\x13\x18\xffD@',252,41.9929222,-87.7784268
136,Jackie Robinson Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xbeR\xf1\xda\x80\xe9U\xc0(\x0b__\xeb\xd9D@',592,41.7024955,-87.6484897
137,Jackson Park,"b""\x00\x00\x00\x00\x01\x01\x00\x00\x00]\nY'x\xe5U\xc04\x08\xbdH\xb2\xe3D@""",604,41.7788783,-87.5854586
138,Jackson Park Fieldhouse,"b""\x00\x00\x00\x00\x01\x01\x00\x00\x00]\nY'x\xe5U\xc04\x08\xbdH\xb2\xe3D@""",253,41.7788783,-87.5854586
139,Jacob Playlot Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xaa\xfe\xf7\x96\xa8\xecU\xc0\x16\xc1\xffV\xb2\xfbD@',254,41.96638,-87.6977899
140,Jane Addams Memorial Park,"b""\x00\x00\x00\x00\x01\x01\x00\x00\x00\xef\xd2<68\xe7U\xc0\x18'\xbe\xdaQ\xf2D@""",27,41.893123,-87.6128059
141,Jefferson Memorial Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00/\x80\x95\xe8\xd1\xf0U\xc0\xdd\xd30\xd7\xfd\xfbD@',260,41.9686841,-87.7628118
142,Jensen Park,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00C;\xa7Y \xeeU\xc0\xe7\xac\xaa\xf2\x98\xfbD@',21,41.9656051,-87.7207245
143,Jesse White Gymnastics Center,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xe2x>\x03\xea\xe8U\xc0=\xf2\x07\x03\xcf\xf2D@',649,41.8969425,-87.639283
